Date,Open,High,Low,Close
05/15/2014,436,445,436,444
05/16/2014,444,448,440,446
05/19/2014,445,446,443,444
05/20/2014,444,446,442,444
05/21/2014,444,494,443,483
05/22/2014,483,494,482,489
05/23/2014,489,521,488,524
05/26/2014,522,579,522,569
05/27/2014,569,590,565,580
05/28/2014,580,591,550,572
05/29/2014,572,577,560,567
05/30/2014,568,576,556,610
06/02/2014,621,677,619,641
06/03/2014,641,663,611,663
06/04/2014,663,676,646,663
06/05/2014,663,669,618,642
06/06/2014,642,665,636,648
06/09/2014,652,657,649,652
06/10/2014,652,655,638,642
06/11/2014,642,658,641,649
06/12/2014,649,655,627,627
06/13/2014,627,634,581,590
06/16/2014,562,576,551,572
06/17/2014,572,607,572,595
06/18/2014,595,609,586,608
06/19/2014,608,614,600,604
06/20/2014,604,606,593,590
06/23/2014,591,603,591,598
06/24/2014,598,600,581,587
06/25/2014,587,589,583,583
06/26/2014,583,584,559,563
06/27/2014,563,572,559,580
06/30/2014,597,599,589,594
07/01/2014,594,643,594,636
07/02/2014,636,655,636,644
07/03/2014,644,654,628,645
07/04/2014,645,648,635,631
07/07/2014,625,636,625,631
07/08/2014,631,633,612,617
07/09/2014,617,623,616,621
07/10/2014,621,624,616,622
07/11/2014,622,622,609,630
07/14/2014,631,635,626,628
07/15/2014,628,628,616,620
07/16/2014,620,622,617,619
07/17/2014,619,621,613,615
07/18/2014,615,627,612,625
07/21/2014,626,627,619,620
07/22/2014,620,621,617,620
07/23/2014,620,622,619,619
07/24/2014,619,620,617,618
07/25/2014,618,619,591,598
07/28/2014,595,598,590,592
07/29/2014,592,623,512,585
07/30/2014,585,588,578,582
07/31/2014,582,583,563,564
08/01/2014,564,588,560,597
08/04/2014,589,589,578,586
08/05/2014,586,593,583,586
08/06/2014,586,588,580,581
08/07/2014,582,586,582,585
08/08/2014,591,591,591,591
08/09/2014,588,588,588,588
08/10/2014,589,589,589,589
08/11/2014,573,573,573,573
08/12/2014,568,568,568,568
08/13/2014,545,545,545,545
08/14/2014,509,509,509,509
08/15/2014,497,497,497,497
08/16/2014,520,520,520,520
08/17/2014,493,493,493,493
08/18/2014,461,461,461,461
08/19/2014,487,487,487,487
08/20/2014,512,512,512,512
08/21/2014,516,516,516,516
08/22/2014,514,514,514,514
08/23/2014,497,497,497,497
08/24/2014,509,509,509,509
08/25/2014,502,502,502,502
08/26/2014,513,513,513,513
08/27/2014,510,510,510,510
08/28/2014,507,507,507,507
08/29/2014,508,508,508,508
08/30/2014,501,501,501,501
08/31/2014,478,478,478,478
09/01/2014,474,474,474,474
09/02/2014,475,475,475,475
09/03/2014,475,475,475,475
09/04/2014,489,489,489,489
09/05/2014,481,481,481,481
09/06/2014,482,482,482,482
09/07/2014,479,479,479,479
09/08/2014,472,472,472,472
09/09/2014,472,472,472,472
09/10/2014,478,478,478,478
09/11/2014,476,476,476,476
09/12/2014,474,474,474,474
09/15/2014,473,474,472,474
09/16/2014,474,475,474,474
09/17/2014,474,475,462,463
09/18/2014,463,465,448,450
09/19/2014,450,456,405,395
09/22/2014,407,410,391,393
09/23/2014,393,405,392,402
09/24/2014,402,444,391,435
09/25/2014,435,439,419,423
09/26/2014,423,424,407,404
09/29/2014,398,400,370,376
09/30/2014,376,386,369,377
10/01/2014,377,394,371,386
10/02/2014,386,390,378,382
10/03/2014,382,383,370,357
10/06/2014,327,340,286,303
10/07/2014,303,344,301,335
10/08/2014,336,339,317,328
10/09/2014,328,351,325,351
10/10/2014,351,383,347,357
10/13/2014,360,374,352,374
10/14/2014,374,392,367,389
10/15/2014,390,410,386,403
10/16/2014,403,403,386,391
10/17/2014,391,396,369,379
10/20/2014,391,392,383,386
10/21/2014,386,389,377,381
10/22/2014,381,389,377,383
10/23/2014,383,384,378,380
10/24/2014,380,381,354,355
10/27/2014,348,438,343,352
10/28/2014,352,435,346,351
10/29/2014,351,355,348,351
10/30/2014,351,352,335,336
10/31/2014,335,350,332,340
11/03/2014,324,334,323,326
11/04/2014,326,330,321,326
11/05/2014,326,341,326,339
11/06/2014,339,352,336,348
11/07/2014,348,351,340,341
11/10/2014,357,375,357,367
11/11/2014,366,371,360,366
11/12/2014,366,432,365,423
11/13/2014,423,458,386,403
11/14/2014,403,425,382,401
11/17/2014,386,410,375,383
11/18/2014,383,391,370,376
11/19/2014,376,385,371,375
11/20/2014,375,379,353,356
11/21/2014,356,357,342,351
11/24/2014,367,389,365,377
11/25/2014,377,393,374,376
11/26/2014,376,378,366,367
11/27/2014,367,373,365,369
11/28/2014,369,381,358,381
12/01/2014,377,383,375,379
12/02/2014,379,384,378,380
12/03/2014,380,383,374,377
12/04/2014,377,378,367,372
12/05/2014,372,378,366,378
12/08/2014,374,375,363,366
12/09/2014,366,366,344,351
12/10/2014,351,352,346,348
12/11/2014,348,361,338,348
12/12/2014,348,354,346,352
12/15/2014,351,352,344,345
12/16/2014,345,346,328,329
12/17/2014,329,333,314,320
12/18/2014,320,323,304,311
12/19/2014,311,316,306,314
12/22/2014,320,332,319,330
12/23/2014,330,336,328,334
12/24/2014,334,334,321,321
12/25/2014,321,322,317,319
12/26/2014,319,330,316,329
12/29/2014,315,320,312,313
12/30/2014,313,314,309,310
12/31/2014,310,317,309,317
01/01/2015,317,320,314,314
01/02/2015,314,316,313,314
01/05/2015,266,278,260,270
01/06/2015,270,286,270,285
01/07/2015,286,300,283,294
01/08/2015,294,296,282,290
01/09/2015,290,291,280,287
01/12/2015,266,272,264,269
01/13/2015,270,270,224,235
01/14/2015,235,235,170,182
01/15/2015,181,229,170,206
01/16/2015,205,222,199,208
01/19/2015,207,217,207,215
01/20/2015,215,216,205,210
01/21/2015,210,225,210,225
01/22/2015,225,237,223,231
01/23/2015,231,235,224,234
01/26/2015,250,308,250,271
01/27/2015,271,275,251,260
01/28/2015,260,265,231,232
01/29/2015,232,238,220,233
01/30/2015,234,243,226,227
02/02/2015,231,232,222,226
02/03/2015,226,246,224,226
02/04/2015,226,230,221,225
02/05/2015,225,228,215,218
02/06/2015,218,226,216,224
02/09/2015,222,224,217,221
02/10/2015,221,222,215,220
02/11/2015,220,224,218,219
02/12/2015,219,222,218,222
02/13/2015,222,240,221,235
02/16/2015,231,240,228,236
02/17/2015,236,246,232,242
02/18/2015,242,244,232,233
02/19/2015,233,243,233,240
02/20/2015,240,247,239,244
02/23/2015,235,239,232,239
02/24/2015,239,240,236,238
02/25/2015,239,239,236,238
02/26/2015,238,238,234,236
02/27/2015,236,258,236,254
03/02/2015,258,271,256,270
03/03/2015,270,286,267,284
03/04/2015,284,285,266,269
03/05/2015,269,280,264,278
03/06/2015,278,278,269,273
03/09/2015,275,277,272,273
03/10/2015,273,292,273,290
03/11/2015,290,300,287,292
03/12/2015,292,297,289,295
03/13/2015,295,297,292,289
03/16/2015,282,286,281,286
03/17/2015,286,294,284,291
03/18/2015,291,292,283,284
03/19/2015,284,285,248,253
03/20/2015,253,263,247,261
03/23/2015,259,268,259,267
03/24/2015,267,270,261,266
03/25/2015,266,267,243,248
03/26/2015,248,249,236,245
03/27/2015,245,254,245,248
03/30/2015,252,253,239,241
03/31/2015,241,249,236,246
04/01/2015,246,248,241,245
04/02/2015,245,247,240,246
04/03/2015,246,254,244,254
04/06/2015,253,258,251,257
04/07/2015,257,261,254,255
04/08/2015,255,256,252,254
04/09/2015,254,254,242,245
04/10/2015,245,245,238,234
04/13/2015,235,237,233,236
04/14/2015,236,237,221,222
04/15/2015,222,225,215,216
04/16/2015,216,222,216,221
04/17/2015,221,229,221,222
04/20/2015,223,226,221,222
04/21/2015,222,226,221,223
04/22/2015,223,235,223,233
04/23/2015,233,238,233,233
04/24/2015,233,236,233,231
04/27/2015,227,227,214,219
04/28/2015,219,232,217,232
04/29/2015,232,232,223,225
04/30/2015,225,227,223,226
05/01/2015,226,240,225,235
05/04/2015,236,244,234,240
05/05/2015,240,243,238,239
05/06/2015,239,239,232,236
05/07/2015,236,237,229,230
05/08/2015,231,240,229,244
05/11/2015,241,244,238,239
05/12/2015,239,244,239,242
05/13/2015,242,243,239,241
05/14/2015,241,244,234,235
05/18/2015,236,238,235,236
05/19/2015,236,237,232,232
05/20/2015,232,234,232,232
05/21/2015,232,235,232,234
05/22/2015,234,236,234,241
05/25/2015,239,243,239,242
05/26/2015,242,242,237,237
05/27/2015,237,239,236,238
05/28/2015,238,239,236,237
05/29/2015,237,238,237,237
06/01/2015,233,234,231,231
06/02/2015,231,232,222,222
06/03/2015,222,227,222,226
06/04/2015,226,227,224,226
06/05/2015,226,226,224,226
06/08/2015,225,226,223,224
06/09/2015,224,230,223,229
06/10/2015,229,231,228,230
06/11/2015,230,230,228,229
06/12/2015,229,230,229,231
06/15/2015,233,236,232,233
06/16/2015,233,239,233,237
06/17/2015,237,254,236,247
06/18/2015,247,258,246,249
06/19/2015,249,252,243,245
06/22/2015,245,246,242,244
06/23/2015,244,248,244,248
06/24/2015,248,248,243,245
06/25/2015,245,245,240,241
06/26/2015,241,244,240,241
06/29/2015,250,251,247,248
